concept	schema	description
一年级开学必备	人生阶段:小学	对象:一年级学生|事件:开学
七夕饰品		时间:七夕|品类:饰品
三亚旅游		空间:三亚|事件:旅游
个人办公		对象:单人|事件:办公
个人清洁用品		对象:单人|功能:清洁|品类:用品
个性潮娃穿搭	人生阶段:幼儿	风格:个性|对象:潮娃
中国风礼物		风格:中国风|品类:礼物
中国风装饰		风格:中国风|品类:装饰
中学生学习用品	人生阶段:中学	对象:中学生|事件:学习|品类:用品
中式收纳		风格:中国风|功能:收纳
中班儿童书籍	人生阶段:幼儿	品类:儿童书
中秋节用品		时间:中秋节|品类:用品
主播器材		对象:主播|品类:器材
书写用品		事件:书写|品类:用品
二次元少女穿搭	性别:女	风格:二次元|对象:少女|功能:穿搭
产后出院衣服	人生阶段:孕期|年龄:产后,成人	事件:出院|品类:衣服
产后哺乳用品	性别:女|人生阶段:新生儿|年龄:产后,成人	功能:哺乳|品类:用品
产后瑜伽用品	人生阶段:新生儿|年龄:产后,成人	事件:瑜伽|品类:用品
产妇专用	性别:女|人生阶段:孕期,新生儿	对象:产妇
产妇必备	性别:女|人生阶段:孕期,新生儿	对象:产妇
亲子过家家玩具		对象:亲子|事件:过家家|品类:玩具
亲肤纸尿裤		功能:亲肤|品类:纸尿裤
代步神器		事件:代步|品类:神器
休闲男装搭配	性别:男	风格:休闲|品类:男装
伸缩收纳		功能:伸缩,收纳
体育运动用品		事件:锻炼|品类:用品
保健养生		功能:保健养生
保暖儿童装	人生阶段:幼儿	功能:保暧|品类:儿童装
保暖女童鞋	人生阶段:幼儿|性别:女	功能:保暧|品类:女童鞋
保暖婴儿	人生阶段:婴儿	功能:保暧|对象:婴儿
保暖新年礼物		功能:保暧|时间:新年|品类:礼物
保暖睡衣		功能:保暧|品类:睡衣
保暖短裤		功能:保暧|品类:短裤
保暖礼物		功能:保暧|品类:礼物
保暖童鞋	人生阶段:幼儿	功能:保暧|品类:童鞋
保温吸盘碗		功能:保温|品类:吸盘碗
保温奶瓶	人生阶段:新生儿,婴儿	功能:保温|品类:奶瓶
保湿孕妇护肤品	性别:女|人生阶段:孕期	功能:保湿|对象:孕妇|品类:护肤品
做实验玩具		事件:做实验|品类:玩具
做手工工具		事件:做手工|品类:工具
做早餐电器		事件:做早餐|品类:电器
做月子产品	性别:女|人生阶段:新生儿|年龄:产后,成人	事件:做月子
做饭厨具		事件:做饭|品类:厨具
停车场玩具		事件:泊车|品类:玩具
健身保健用品		事件:健身|功能:保健|品类:用品
健身减肥神器		事件:健身|功能:减肥|品类:神器
健身拳击用品		事件:健身,拳击|品类:用品
健身辅助产品		事件:健身|功能:辅助固定
儿童万圣节	人生阶段:幼儿	对象:儿童|时间:万圣节
儿童保暖冬鞋	人生阶段:幼儿	对象:儿童|功能:保暧|品类:冬鞋
儿童保暖用品	人生阶段:幼儿	对象:儿童|功能:保暧|品类:用品
儿童修车工具	人生阶段:幼儿	对象:儿童|事件:修车|品类:工具
儿童做蛋糕	人生阶段:幼儿	对象:儿童|事件:制作蛋糕
儿童养育	人生阶段:幼儿	对象:儿童|事件:抚养
儿童出行用品	人生阶段:幼儿	对象:儿童|事件:出游|品类:用品
儿童卡通礼物	人生阶段:幼儿	对象:儿童|风格:卡通|品类:礼物
儿童吃饭围兜	人生阶段:幼儿	对象:儿童|事件:进餐|品类:围兜
儿童吃饭座椅	人生阶段:幼儿	对象:儿童|事件:进餐|品类:座椅
儿童吃饭必备	人生阶段:幼儿	对象:儿童|事件:进餐
儿童吃饭用具	人生阶段:幼儿	对象:儿童|功能:吃饭用
儿童吃饭碗	人生阶段:幼儿	对象:儿童|事件:进餐|品类:碗
儿童喂养	人生阶段:幼儿	对象:儿童|事件:沏茶
儿童喂养必备	人生阶段:幼儿	对象:儿童|事件:沏茶
儿童圣诞礼物	人生阶段:幼儿	对象:儿童|时间:圣诞|品类:礼物
儿童娱乐用品	人生阶段:幼儿	对象:儿童|事件:娱乐|品类:用品
儿童家居装饰	人生阶段:幼儿	对象:儿童|风格:家居|品类:装饰
儿童开学穿搭	人生阶段:幼儿	对象:儿童|事件:开学
儿童扎发	人生阶段:幼儿	对象:儿童|事件:编发
儿童打针	人生阶段:幼儿	对象:儿童|事件:打针
儿童护眼用品		对象:儿童|功能:护眼|品类:用品
儿童护耳	人生阶段:幼儿	对象:儿童|功能:护耳
儿童护肚用品	人生阶段:幼儿	对象:儿童|功能:护腹|品类:用品
儿童抱娃神器	人生阶段:幼儿	对象:儿童|事件:抱娃|品类:神器
儿童摄影服装	人生阶段:幼儿	对象:儿童|事件:拍摄|品类:服装
儿童文具用品	人生阶段:幼儿	对象:儿童|品类:文具,用品
儿童文艺穿搭	人生阶段:幼儿	对象:儿童|风格:文艺
儿童春节礼物	人生阶段:幼儿	对象:儿童|时间:春节|品类:礼物
儿童洗澡用品	人生阶段:幼儿	对象:儿童|事件:洗澡|品类:用品
儿童涂色	人生阶段:幼儿	对象:儿童|事件:涂写
儿童游泳工具	人生阶段:幼儿	对象:儿童|事件:游泳|品类:工具
儿童滑冰	人生阶段:幼儿	对象:儿童|事件:滑冰
儿童滑雪	人生阶段:幼儿	对象:儿童|事件:滑雪
儿童演出衣服	人生阶段:幼儿	对象:儿童|事件:上台表演|品类:衣服
儿童演出裙	性别:女|人生阶段:幼儿	对象:儿童|事件:上台表演|品类:裙
儿童玩具防护	人生阶段:幼儿	对象:儿童|品类:玩具|功能:养护
儿童用餐	人生阶段:幼儿	对象:儿童|事件:进餐
儿童电动越野	人生阶段:幼儿	对象:儿童|事件:越野
儿童男孩礼物	性别:男|人生阶段:幼儿	对象:儿童,男孩|品类:礼物
儿童益智套装	人生阶段:幼儿	对象:儿童|功能:益智
儿童益智积木	人生阶段:幼儿	对象:儿童|功能:益智|品类:积木
儿童秋季用品	人生阶段:幼儿	对象:儿童|时间:秋天|品类:用品
儿童篮球装备	人生阶段:幼儿	对象:儿童|事件:篮球|品类:装备
儿童练字	人生阶段:幼儿	对象:儿童|事件:写字
儿童绘图工具	人生阶段:幼儿	对象:儿童|事件:绘画|品类:工具
儿童耐摔	人生阶段:幼儿	对象:儿童|功能:抗摔
儿童聚会产品	人生阶段:幼儿	对象:儿童|事件:聚会
儿童节生日礼物	人生阶段:幼儿	时间:儿童节,生日|品类:礼物
儿童营养辅食	人生阶段:幼儿	对象:儿童|功能:富含营养|品类:辅食
儿童街舞套装	人生阶段:幼儿	对象:儿童|事件:街舞
儿童解压神器	人生阶段:幼儿	对象:儿童|功能:减压|品类:神器
儿童认知玩具	人生阶段:幼儿	对象:儿童|功能:认知|品类:玩具
儿童识字	人生阶段:幼儿	对象:儿童|事件:识字
儿童跳舞用品	人生阶段:幼儿	对象:儿童|事件:跳舞|品类:用品
儿童透气	人生阶段:幼儿	对象:儿童|功能:透气
儿童逻辑思维训练	人生阶段:幼儿	对象:儿童|功能:逻辑思维训练
儿童长袖打底	人生阶段:幼儿	对象:儿童|功能:内搭
儿童防摔	人生阶段:幼儿	对象:儿童|功能:抗摔
儿童防晒	人生阶段:幼儿	对象:儿童|功能:防晒
儿童防烫防摔	人生阶段:幼儿	对象:儿童|功能:防烫,抗摔
儿童防蚊用品	人生阶段:幼儿	对象:儿童|功能:驱虫|品类:用品
